"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2021";"Día 8 de octubre";"2"
"2021";"Día 9 de octubre";"1"
"2021";"Día 10 de octubre";"1"
"2021";"Día 11 de octubre";"2"
"2021";"Día 12 de octubre";"2"
"2021";"Día 13 de octubre";"2"
"2021";"Día 14 de octubre";"0"
"2021";"Día 15 de octubre";"0"
"2021";"Día 16 de octubre";"0"
"2021";"Día 17 de octubre";"2"
"2021";"Día 18 de octubre";"0"
"2021";"Día 19 de octubre";"1"
"2021";"Día 20 de octubre";"5"
"2021";"Día 21 de octubre";"2"
"2021";"Día 22 de octubre";"0"
"2021";"Día 23 de octubre";"2"
"2021";"Día 24 de octubre";"0"
"2021";"Día 25 de octubre";"1"
"2021";"Día 26 de octubre";"0"
"2021";"Día 27 de octubre";"0"
"2021";"Día 28 de octubre";"3"
"2021";"Día 29 de octubre";"0"
"2021";"Día 30 de octubre";"2"
"2021";"Día 31 de octubre";"1"
"2021";"Día 1 de noviembre";"0"
"2021";"Día 2 de noviembre";"0"
"2021";"Día 3 de noviembre";"4"
"2021";"Día 4 de noviembre";"2"
"2021";"Día 5 de noviembre";"1"
"2021";"Día 6 de noviembre";"1"
"2021";"Día 7 de noviembre";"1"
"2021";"Día 8 de noviembre";"3"
"2021";"Día 9 de noviembre";"1"
"2021";"Día 10 de noviembre";"1"
"2021";"Día 11 de noviembre";"2"
"2021";"Día 12 de noviembre";"4"
"2021";"Día 13 de noviembre";"1"
"2021";"Día 14 de noviembre";"1"
"2021";"Día 15 de noviembre";"2"
"2021";"Día 16 de noviembre";"1"
"2021";"Día 17 de noviembre";"4"
"2021";"Día 18 de noviembre";"1"
"2021";"Día 19 de noviembre";"0"
"2021";"Día 20 de noviembre";"1"
"2021";"Día 21 de noviembre";"2"
"2021";"Día 22 de noviembre";"5"
"2021";"Día 23 de noviembre";"2"
"2021";"Día 24 de noviembre";"2"
"2021";"Día 25 de noviembre";"2"
"2021";"Día 26 de noviembre";"2"
"2021";"Día 27 de noviembre";"4"
"2021";"Día 28 de noviembre";"2"
"2021";"Día 29 de noviembre";"3"
"2021";"Día 30 de noviembre";"4"
"2021";"Día 1 de diciembre";"1"
"2021";"Día 2 de diciembre";"5"
"2021";"Día 3 de diciembre";"3"
"2021";"Día 4 de diciembre";"2"
"2021";"Día 5 de diciembre";"6"
"2021";"Día 6 de diciembre";"4"
"2021";"Día 7 de diciembre";"5"
"2021";"Día 8 de diciembre";"9"
