Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
01 Andalucía;De 20.001 a 50.000 ;2019;1.485.369
01 Andalucía;De 20.001 a 50.000 ;2018;1.478.025
01 Andalucía;De 20.001 a 50.000 ;2017;1.473.836
01 Andalucía;De 20.001 a 50.000 ;2016;1.471.140
01 Andalucía;De 20.001 a 50.000 ;2015;1.449.491
01 Andalucía;De 20.001 a 50.000 ;2014;1.427.241
01 Andalucía;De 20.001 a 50.000 ;2013;1.449.438
01 Andalucía;De 20.001 a 50.000 ;2012;1.449.103
01 Andalucía;De 20.001 a 50.000 ;2011;1.442.332
01 Andalucía;De 20.001 a 50.000 ;2010;1.433.877
01 Andalucía;De 20.001 a 50.000 ;2009;1.398.684
01 Andalucía;De 20.001 a 50.000 ;2008;1.336.273
01 Andalucía;De 20.001 a 50.000 ;2007;1.298.990
01 Andalucía;De 20.001 a 50.000 ;2006;1.261.424
01 Andalucía;De 20.001 a 50.000 ;2005;1.204.680
01 Andalucía;De 20.001 a 50.000 ;2004;1.098.652
01 Andalucía;De 20.001 a 50.000 ;2003;1.091.363
01 Andalucía;De 20.001 a 50.000 ;2002;1.142.097
01 Andalucía;De 20.001 a 50.000 ;2001;1.109.387
01 Andalucía;De 20.001 a 50.000 ;2000;1.136.972
01 Andalucía;De 20.001 a 50.000 ;1999;1.159.230
01 Andalucía;De 20.001 a 50.000 ;1998;1.140.385
01 Andalucía;De 20.001 a 50.000 ;1997;""
01 Andalucía;De 20.001 a 50.000 ;1996;1.130.620
01 Andalucía;De 50.001 a 100.000 ;2021;1.290.077
01 Andalucía;De 50.001 a 100.000 ;2020;1.285.325
01 Andalucía;De 50.001 a 100.000 ;2019;1.271.308
01 Andalucía;De 50.001 a 100.000 ;2018;1.264.120
01 Andalucía;De 50.001 a 100.000 ;2017;1.261.523
01 Andalucía;De 50.001 a 100.000 ;2016;1.261.203
01 Andalucía;De 50.001 a 100.000 ;2015;1.258.873
01 Andalucía;De 50.001 a 100.000 ;2014;1.253.720
01 Andalucía;De 50.001 a 100.000 ;2013;1.262.672
01 Andalucía;De 50.001 a 100.000 ;2012;1.258.681
01 Andalucía;De 50.001 a 100.000 ;2011;1.245.546
01 Andalucía;De 50.001 a 100.000 ;2010;1.229.531
